,number_of_a,number_of_b,number_of_used_a,number_of_used_b,status,Total cost
312,6,12,6,8,Optimal,1294216
313,6,13,6,8,Optimal,1294216
314,6,14,6,8,Optimal,1294216
315,6,15,6,8,Optimal,1294216
316,6,16,6,8,Optimal,1294216
317,6,17,6,8,Optimal,1294216
318,6,18,6,8,Optimal,1294216
319,6,19,6,8,Optimal,1294216
320,6,20,6,8,Optimal,1294216
321,6,21,6,8,Optimal,1294216
322,6,22,6,8,Optimal,1294216
323,6,23,6,8,Optimal,1294216
324,6,24,6,8,Optimal,1294216
325,6,25,6,8,Optimal,1294216
326,6,26,6,8,Optimal,1294216
327,6,27,6,8,Optimal,1294216
328,6,28,6,8,Optimal,1294216
329,6,29,6,8,Optimal,1294216
330,6,30,6,8,Optimal,1294216
331,6,31,6,8,Optimal,1294216
332,6,32,6,8,Optimal,1294216
333,6,33,6,8,Optimal,1294216
334,6,34,6,8,Optimal,1294216
335,6,35,6,8,Optimal,1294216
336,6,36,6,8,Optimal,1294216
337,6,37,6,8,Optimal,1294216
338,6,38,6,8,Optimal,1294216
339,6,39,6,8,Optimal,1294216
340,6,40,6,8,Optimal,1294216
341,6,41,6,8,Optimal,1294216
342,6,42,6,8,Optimal,1294216
343,6,43,6,8,Optimal,1294216
344,6,44,6,8,Optimal,1294216
345,6,45,6,8,Optimal,1294216
346,6,46,6,8,Optimal,1294216
347,6,47,6,8,Optimal,1294216
348,6,48,6,8,Optimal,1294216
349,6,49,6,8,Optimal,1294216
350,7,0,7,0,Infeasible,1786602
351,7,1,7,1,Infeasible,2815299
352,7,2,7,2,Infeasible,2234105
353,7,3,7,3,Infeasible,1851548
354,7,4,7,4,Infeasible,1304740
355,7,5,7,5,Infeasible,1278449
356,7,6,7,6,Optimal,1271708
357,7,7,7,6,Optimal,1271708
358,7,8,7,6,Optimal,1271708
359,7,9,7,6,Optimal,1271708
360,7,10,7,6,Optimal,1271708
361,7,11,7,6,Optimal,1271708
362,7,12,7,6,Optimal,1271708
363,7,13,7,6,Optimal,1271708
364,7,14,7,6,Optimal,1271708
365,7,15,7,6,Optimal,1271708
366,7,16,7,6,Optimal,1271708
367,7,17,7,6,Optimal,1271708
368,7,18,7,6,Optimal,1271708
369,7,19,7,6,Optimal,1271708
370,7,20,7,6,Optimal,1271708
371,7,21,7,6,Optimal,1271708
372,7,22,7,6,Optimal,1271708
373,7,23,7,6,Optimal,1271708
374,7,24,7,6,Optimal,1271708
375,7,25,7,6,Optimal,1271708
376,7,26,7,6,Optimal,1271708
377,7,27,7,6,Optimal,1271708
378,7,28,7,6,Optimal,1271708
379,7,29,7,6,Optimal,1271708
380,7,30,7,6,Optimal,1271708
381,7,31,7,6,Optimal,1271708
382,7,32,7,6,Optimal,1271708
383,7,33,7,6,Optimal,1271708
384,7,34,7,6,Optimal,1271708
385,7,35,7,6,Optimal,1271708
386,7,36,7,6,Optimal,1271708
387,7,37,7,6,Optimal,1271708
388,7,38,7,6,Optimal,1271708
389,7,39,7,6,Optimal,1271708
390,7,40,7,6,Optimal,1271708
391,7,41,7,6,Optimal,1271708
392,7,42,7,6,Optimal,1271708
393,7,43,7,6,Optimal,1271708
394,7,44,7,6,Optimal,1271708
395,7,45,7,6,Optimal,1271708
396,7,46,7,6,Optimal,1271708
397,7,47,7,6,Optimal,1271708
398,7,48,7,6,Optimal,1271708
399,7,49,7,6,Optimal,1271708
400,8,0,8,0,Infeasible,1481363
401,8,1,8,5,Infeasible,1251725
402,8,2,8,5,Infeasible,1251725
403,8,3,8,3,Infeasible,1287217
404,8,4,8,4,Infeasible,1252659
405,8,5,8,5,Optimal,1251725
406,8,6,8,5,Optimal,1251725
407,8,7,8,5,Optimal,1251725
408,8,8,8,5,Optimal,1251725
409,8,9,8,5,Optimal,1251725
410,8,10,8,5,Optimal,1251725
411,8,11,8,5,Optimal,1251725
412,8,12,8,5,Optimal,1251725
413,8,13,8,5,Optimal,1251725
414,8,14,8,5,Optimal,1251725
415,8,15,8,5,Optimal,1251725
416,8,16,8,5,Optimal,1251725
417,8,17,8,5,Optimal,1251725
418,8,18,8,5,Optimal,1251725
419,8,19,8,5,Optimal,1251725
420,8,20,8,5,Optimal,1251725
421,8,21,8,5,Optimal,1251725
422,8,22,8,5,Optimal,1251725
423,8,23,8,5,Optimal,1251725
424,8,24,8,5,Optimal,1251725
425,8,25,8,5,Optimal,1251725
426,8,26,8,5,Optimal,1251725
427,8,27,8,5,Optimal,1251725
428,8,28,8,5,Optimal,1251725
429,8,29,8,5,Optimal,1251725
430,8,30,8,5,Optimal,1251725
431,8,31,8,5,Optimal,1251725
432,8,32,8,5,Optimal,1251725
433,8,33,8,5,Optimal,1251725
434,8,34,8,5,Optimal,1251725
435,8,35,8,5,Optimal,1251725
436,8,36,8,5,Optimal,1251725
437,8,37,8,5,Optimal,1251725
438,8,38,8,5,Optimal,1251725
439,8,39,8,5,Optimal,1251725
440,8,40,8,5,Optimal,1251725
441,8,41,8,5,Optimal,1251725
442,8,42,8,5,Optimal,1251725
443,8,43,8,5,Optimal,1251725
444,8,44,8,5,Optimal,1251725
445,8,45,8,5,Optimal,1251725
446,8,46,8,5,Optimal,1251725
447,8,47,8,5,Optimal,1251725
448,8,48,8,5,Optimal,1251725
449,8,49,8,5,Optimal,1251725
450,9,0,9,0,Infeasible,1463030
451,9,1,9,4,Infeasible,1233464
452,9,2,9,2,Infeasible,1270692
453,9,3,8,2,Infeasible,1044747
454,9,4,9,4,Optimal,1233464
455,9,5,9,4,Optimal,1233464
456,9,6,9,4,Optimal,1233464
457,9,7,9,4,Optimal,1233464
458,9,8,9,4,Optimal,1233464
459,9,9,9,4,Optimal,1233464
460,9,10,9,4,Optimal,1233464
461,9,11,9,4,Optimal,1233464
462,9,12,9,4,Optimal,1233464
463,9,13,9,4,Optimal,1233464
464,9,14,9,4,Optimal,1233464
465,9,15,9,4,Optimal,1233464
466,9,16,9,4,Optimal,1233464
467,9,17,9,4,Optimal,1233464
468,9,18,9,4,Optimal,1233464
469,9,19,9,4,Optimal,1233464
470,9,20,9,4,Optimal,1233464
471,9,21,9,4,Optimal,1233464
472,9,22,9,4,Optimal,1233464
473,9,23,9,4,Optimal,1233464
474,9,24,9,4,Optimal,1233464
475,9,25,9,4,Optimal,1233464
476,9,26,9,4,Optimal,1233464
477,9,27,9,4,Optimal,1233464
478,9,28,9,4,Optimal,1233464
479,9,29,9,4,Optimal,1233464
